,단어,빈도
809,기록하는,1
810,기록하며,1
811,기록하면서,1
812,기록한,5
813,기록할,1
814,기록했다,6
815,기록했다고,1
816,기록했습니다,2
817,기록했었다,1
818,기름값,1
819,기름값이,1
820,기미를,1
821,기반한,1
822,기본적,1
823,기사,3
824,기사내용,12
825,기사는,2
826,기사를,2
827,기사문의,1
828,기사에는,1
829,기사와,2
830,기사입니다,2
831,기소했습니다,1
832,기술,2
833,기승을,3
834,기시다,4
835,기업,1
836,기업개발,1
837,기업들의,1
838,기여했다,1
839,기울고,1
840,기울기를,1
841,기울이고,1
842,기울인다,1
843,기원을,1
844,기자가,1
845,기자들과,3
846,기자들에게,1
847,기자들의,1
848,기자의,1
849,기자입니다,3
850,기자회견에서,3
851,기자회견을,1
852,기조,2
853,기조로는,1
854,기조를,2
855,기조에도,1
856,기존,7
857,기존보다,1
858,기존에는,1
859,기존의,1
860,기준금리,3
861,기준금리를,7
862,기준에,2
863,기준을,3
864,기준이,3
865,기준치를,1
866,기지를,1
867,기차,1
868,기차를,1
869,기차편은,1
870,기후현,6
871,긴,2
872,긴급,1
873,긴급대책,1
874,긴밀히,2
875,긴장관계가,1
876,긴축,2
877,긴축을,2
878,긴축이,2
879,길로,2
880,길에,1
881,김난영,4
882,김리안,1
883,김미향,1
884,김민지,1
885,김서원,1
886,김성진,1
887,김승욱,1
888,김예슬,1
889,김예진,1
890,김응건,1
891,김정남,2
892,김정률,1
893,김정아,2
894,김정은,1
895,김정환,1
896,김지수,1
897,김지수입니다,1
898,김지은,1
899,김진방,1
900,김태규,1
901,김현경,1
902,김현경기자,1
903,깊숙이,2
904,깨뜨렸다,1
905,깨질,1
906,꺾였다,1
907,꺾이기는,1
908,껄끄러운,1
909,꼬인,1
910,꼽았다,2
911,꼽았습니다,1
912,꼽혔지만,1
913,꼽히는,1
914,꼽힌다,1
915,끊이지,1
916,끊임없이,1
917,끌고,2
918,끌어,1
919,끌어내리는,1
920,끔찍한,1
921,끝,1
922,끝나감에,1
923,끝나기,1
924,끝냈으며,1
925,끝에,1
926,끼친다,1
927,끼칠,1
928,나가는,1
929,나라,2
930,나라가,2
931,나라는,2
932,나라도,1
933,나라들의,1
934,나라의,3
935,나름,1
936,나름대로,1
937,나빠질,1
938,나서,2
939,나서겠다,1
940,나서려고,1
