,단어,빈도
1212,경제수석으로부터,1
1213,경제수석이,1
1214,경제안보,1
1215,경제에,1
1216,경제와,2
1217,경제운영의,1
1218,경제위기,1
1219,경제적,1
1220,경제적으로,2
1221,경제전쟁의,1
1222,경제정보,13
1223,경제제재를,1
1224,경제학과를,1
1225,경제협력개발기구,1
1226,경주,2
1227,경증이라,1
1228,경찰,13
1229,경찰국,1
1230,경찰국을,2
1231,경찰권,1
1232,경찰권력에,1
1233,경찰권에,1
1234,경찰길들이기,1
1235,경찰까지,1
1236,경찰로부터,1
1237,경찰마저,1
1238,경찰만,1
1239,경찰법,1
1240,경찰에,4
1241,경찰위원회는,2
1242,경찰위원회와,1
1243,경찰은,5
1244,경찰을,3
1245,경찰의,5
1246,경찰이,6
1247,경찰이나,1
1248,경찰제도개선자문위,1
1249,경찰청,2
1250,경찰청에,1
1251,경찰청에서,1
1252,경찰청으로,2
1253,경찰청을,4
1254,경찰청장,10
1255,경찰청장과,2
1256,경찰청장은,1
1257,경찰청장의,1
1258,경찰통제,1
1259,경청하고,1
1260,경청해야,3
1261,경총,1
1262,경축,2
1263,경향닷컴,3
1264,경향신문,3
1265,경향신문인가,1
1266,경향을,1
1267,경향이,1
1268,경험과,1
1269,경험도,1
1270,경험들이,1
1271,경험이,1
1272,경험하고,1
1273,경험하는,1
1274,경호,1
1275,경호를,2
1276,경호원들,1
1277,경호처,1
1278,계,6
1279,계가,2
1280,계급장을,1
1281,계기,3
1282,계기가,4
1283,계기는,1
1284,계기로,10
1285,계기를,1
1286,계기에,2
1287,계로,2
1288,계셔야,1
1289,계셨기,1
1290,계셨다가,1
1291,계속,81
1292,계속돼야,1
1293,계속됐거든요,1
1294,계속되고,4
1295,계속되는,1
1296,계속되자,2
1297,계속된다면,1
1298,계속될,4
1299,계속하고,1
1300,계속해,3
1301,계속해서,9
1302,계속했던,1
1303,계승하고,1
1304,계시거든요,1
1305,계시겠네요,6
1306,계시는,3
1307,계신,2
1308,계신다,5
1309,계신데,2
1310,계십니까,2
1311,계십니다,1
1312,계십시오,2
1313,계약직으로,1
1314,계약했지만,1
1315,계양구,1
1316,계양을,4
1317,계양을도,1
1318,계양을에서,2
1319,계양을지역,1
1320,계엄사령관,1
1321,계엄사령관으로,1
1322,계엄사령관이,1
1323,계이자,1
1324,계절,1
1325,계정,2
1326,계좌로,1
1327,계파,35
1328,계파가,2
1329,계파갈등의,1
1330,계파나,1
1331,계파는,1
1332,계파라고,1
1333,계파로,4
1334,계파를,1
1335,계파분열적,1
1336,계파색이,1
1337,계파싸움이,1
1338,계획,9
1339,계획도,2
1340,계획안이,1
1341,계획에,1
1342,계획에서,1
1343,계획은,1
1344,계획을,5
1345,계획의,1
1346,계획이,1
1347,계획이나,1
1348,계획이다,10
1349,계획이라고,1
1350,계획이라며,1
1351,계획인가,1
1352,계획입니다,3
1353,고강도의,1
1354,고개,2
1355,고개를,3
1356,고고도,1
1357,고교,2
1358,고금리라는,1
1359,고금리의,1
1360,고난의,1
1361,고도,7
1362,고도가,20
1363,고도는,3
1364,고도의,2
1365,고도화,1
1366,고도화를,1
1367,고된,2
1368,고등군사법원에서,1
1369,고등군사법원은,1
1370,고등군사법원이,1
1371,고등군사법원입니다,1
1372,고등법원장,2
1373,고등학교,1
1374,고려극장에서,6
1375,고려대,4
1376,고려될,1
1377,고려시대부터,1
1378,고려인,21
1379,고려인협회는,6
1380,고려인협회장,1
1381,고려하는,1
1382,고려한,2
1383,고려할,1
1384,고려해,4
1385,고려해서,1
1386,고루,2
1387,고르는,1
1388,고르려는,1
1389,고리가,1
1390,고리라고,1
1391,고리로,1
1392,고리를,1
